[   0,    0]
[2035, 3003]
[2034, 3008]
[2033, 3012]
[1553, 3494]
[2040, 3009]
[1555, 3499]
[2043, 3016]
[1558, 3506]
[2044, 3022]
[2049, 3024]
[2048, 3028]
[2054, 3035]
[2056, 3033]
[2059, 3043]
[2063, 3046]
[1573, 3537]
[2064, 3050]
[2065, 3053]
[2067, 3052]
[1577, 3546]
[2068, 3055]
[2075, 3065]
[1583, 3559]
[2076, 3068]
[1584, 3562]
[2080, 3074]
[1587, 3569]
[1588, 3572]
[1589, 3575]
[2085, 3080]
[1591, 3580]
[2087, 3086]
[2088, 3085]
[1594, 3587]
[1595, 3590]
[2094, 3095]
[1599, 3599]
[2099, 3099]
[2097, 3102]
[1600, 3602]
[2100, 3104]
[2101, 3107]
[1603, 3609]
[2106, 3109]
[2105, 3112]
[1605, 3614]
[2108, 3116]
[1608, 3621]
[2114, 3123]
[2116, 3128]
[1614, 3634]
[2119, 3130]
[2123, 3136]
[2124, 3139]
[2127, 3143]
[2128, 3142]
[1622, 3651]
[2131, 3150]
[2138, 3155]
[2134, 3161]
[1630, 3668]
[2139, 3159]
[2141, 3165]
[2142, 3168]
[1634, 3677]
[2149, 3171]
[2155, 3176]
[2152, 3181]
[2154, 3184]
[2156, 3187]
[1646, 3702]
[1647, 3705]
[2160, 3192]
[2159, 3200]
[2164, 3198]
[2165, 3204]
[1655, 3722]
[2173, 3210]
[1658, 3729]
[2176, 3212]
[2177, 3219]
[1662, 3738]
[2178, 3224]
[2183, 3221]
[2182, 3227]
[1665, 3745]
[1666, 3748]
[1667, 3751]
[2187, 3231]
[2191, 3234]
[2192, 3240]
[2195, 3244]
[1674, 3766]
[2198, 3245]
[2199, 3249]
[1678, 3775]
[2201, 3255]
[1679, 3778]
[2204, 3256]
[2205, 3260]
[1682, 3785]
[2210, 3266]
[1686, 3794]
[2211, 3269]
[1687, 3797]
[2214, 3271]
[1688, 3800]
[1689, 3803]
[2218, 3277]
[1690, 3806]
[2219, 3283]
[1692, 3811]
[2222, 3282]
[2226, 3288]
[2225, 3290]
[2232, 3298]
[1701, 3830]
[2233, 3301]
[2236, 3305]
[2241, 3308]
[2240, 3312]
[2247, 3321]
[2250, 3323]
[2255, 3326]
[2253, 3330]
[2252, 3332]
[1721, 3871]
[2257, 3335]
[2259, 3340]
[2264, 3339]
[1725, 3880]
[2260, 3345]
[1727, 3885]
[2265, 3348]
[2268, 3355]
[1735, 3902]
[2274, 3363]
[2277, 3367]
[2278, 3370]
[1740, 3913]
[1743, 3920]
[2285, 3379]
[2286, 3382]
[1746, 3927]
[2289, 3384]
[2294, 3391]
[2296, 3396]
[2299, 3398]
[1754, 3944]
[2300, 3401]
[2298, 3404]
[2303, 3405]
[1758, 3953]
[2306, 3409]
[1760, 3958]
[2309, 3413]
[2312, 3417]
[2313, 3420]
[2314, 3424]
[2317, 3425]
[2316, 3430]
[2319, 3428]
[1772, 3983]
[1773, 3986]
[2324, 3435]
[2323, 3438]
[1774, 3989]
[1776, 3994]
[1777, 3997]
[2331, 3443]
[2334, 3450]
[2335, 3456]
[2340, 3459]
[2343, 3461]
[1787, 4018]
[2347, 3464]
[2344, 3468]
[2348, 3474]
[1793, 4031]
[2351, 3476]
[2353, 3482]
[2358, 3485]
[2360, 3483]
[1800, 4046]
[2359, 3490]
[2361, 3489]
[1805, 4057]
[2366, 3496]
[2365, 3498]
[2364, 3501]
[1808, 4064]
[2373, 3507]
[1811, 4071]
[1812, 4074]
[2376, 3511]
[1813, 4077]
[2379, 3520]
[1817, 4086]
[2383, 3523]
[2384, 3522]
[1818, 4089]
[1820, 4094]
[2385, 3530]
[1823, 4101]
[2391, 3534]
[2394, 3536]
[2393, 3539]
[2403, 3547]
[1832, 4120]
[2404, 3551]
[1833, 4123]
[2406, 3554]
[2407, 3561]
[2410, 3565]
[2413, 3563]
[2409, 3568]
[2414, 3566]
[2418, 3567]
[2422, 3573]
[2419, 3577]
[1847, 4152]
[2431, 3584]
[1854, 4167]
[2432, 3589]
[2433, 3598]
[2436, 3605]
[2440, 3601]
[2438, 3610]
[2441, 3608]
[2444, 3607]
[1866, 4192]
[2446, 3612]
[2442, 3620]
[2449, 3613]
[2447, 3617]
[1870, 4201]
[2454, 3622]
[2451, 3626]
[1874, 4210]
[1876, 4215]
[1877, 4218]
[2462, 3633]
[2463, 3636]
[1879, 4223]
[1880, 4226]
[2466, 3640]
[2468, 3647]
[2471, 3648]
[2470, 3652]
[1888, 4243]
[1889, 4246]
[2476, 3659]
[2475, 3663]
[2479, 3660]
[1892, 4253]
[2481, 3665]
[1895, 4260]
[2485, 3671]
[2490, 3670]
[2493, 3682]
[2494, 3685]
[2496, 3691]
[1908, 4287]
[2501, 3694]
[1909, 4290]
[2502, 3698]
[1910, 4293]
[2506, 3707]
[2512, 3709]
[1918, 4310]
[2515, 3713]
[2516, 3716]
[1922, 4319]
[2521, 3720]
[2524, 3730]
[2525, 3736]
[1929, 4334]
[2530, 3734]
[2531, 3733]
[2528, 3737]
[1930, 4337]
[1931, 4340]
[2533, 3741]
[2537, 3747]
[1937, 4353]
[2534, 3757]
[2540, 3752]
[1939, 4358]
[2544, 3758]
[2542, 3763]
[2549, 3765]
[2550, 3769]
[2551, 3768]
[1947, 4375]
[2554, 3776]
[2561, 3786]
[2562, 3789]
[2564, 3788]
[2567, 3793]
[2568, 3798]
[1964, 4410]
[2574, 3802]
[2572, 3805]
[2578, 3809]
[2579, 3808]
[2581, 3817]
[2583, 3815]
[1972, 4427]
[2582, 3822]
[2586, 3820]
[1975, 4434]
[2589, 3824]
[2593, 3831]
[2596, 3833]
[1982, 4449]
[2597, 3836]
[1984, 4454]
[2599, 3842]
[2602, 3843]
[1987, 4461]
[1988, 4464]
[2603, 3849]
[1991, 4471]
[2611, 3855]
[2612, 3861]
[2613, 3864]
[2615, 3862]
[1996, 4482]
[1999, 4489]
[2619, 3869]
[2622, 3874]
[2004, 4500]
[2627, 3882]
[2007, 4507]
[2630, 3884]
[2632, 3889]
[2010, 4514]
[2633, 3895]
[2638, 3894]
[2014, 4523]
[2639, 3900]
[2015, 4526]
[2641, 3905]
